,VARIABLES
0,QUARTER_1
1,QUARTER_2
2,QUARTER_3
3,QUARTER_4
4,MONTH_1
5,MONTH_3
6,MONTH_4
7,MONTH_6
8,MONTH_7
9,MONTH_8
10,MONTH_9
11,MONTH_10
12,MONTH_11
13,MONTH_12
14,DAY_OF_MONTH_1
15,DAY_OF_MONTH_2
16,DAY_OF_MONTH_3
17,DAY_OF_MONTH_4
18,DAY_OF_MONTH_5
19,DAY_OF_MONTH_6
20,DAY_OF_MONTH_7
21,DAY_OF_MONTH_8
22,DAY_OF_MONTH_9
23,DAY_OF_MONTH_10
24,DAY_OF_MONTH_11
25,DAY_OF_MONTH_12
26,DAY_OF_MONTH_13
27,DAY_OF_MONTH_14
28,DAY_OF_MONTH_15
29,DAY_OF_MONTH_16
30,DAY_OF_MONTH_17
31,DAY_OF_MONTH_18
32,DAY_OF_MONTH_19
33,DAY_OF_MONTH_20
34,DAY_OF_MONTH_21
35,DAY_OF_MONTH_22
36,DAY_OF_MONTH_23
37,DAY_OF_MONTH_24
38,DAY_OF_MONTH_25
39,DAY_OF_MONTH_26
40,DAY_OF_MONTH_27
41,DAY_OF_MONTH_28
42,DAY_OF_MONTH_29
43,DAY_OF_MONTH_30
44,DAY_OF_MONTH_31
45,DAY_OF_WEEK_1
46,DAY_OF_WEEK_2
47,DAY_OF_WEEK_3
48,DAY_OF_WEEK_4
49,DAY_OF_WEEK_5
50,DAY_OF_WEEK_6
51,DAY_OF_WEEK_7
52,UNIQUE_CARRIER_AA
53,UNIQUE_CARRIER_AS
54,UNIQUE_CARRIER_B6
55,UNIQUE_CARRIER_DL
56,UNIQUE_CARRIER_EV
57,UNIQUE_CARRIER_F9
58,UNIQUE_CARRIER_HA
59,UNIQUE_CARRIER_NK
60,UNIQUE_CARRIER_OO
61,UNIQUE_CARRIER_UA
62,UNIQUE_CARRIER_VX
63,UNIQUE_CARRIER_WN
64,CRS_ARR_TIME_0
65,CRS_ARR_TIME_1
66,CRS_ARR_TIME_2
67,CRS_ARR_TIME_3
68,CRS_ARR_TIME_4
69,CRS_ARR_TIME_5
70,CRS_ARR_TIME_6
71,CRS_ARR_TIME_7
72,CRS_ARR_TIME_8
73,CRS_ARR_TIME_9
74,CRS_ARR_TIME_10
75,CRS_ARR_TIME_11
76,CRS_ARR_TIME_12
77,CRS_ARR_TIME_13
78,CRS_ARR_TIME_14
79,CRS_ARR_TIME_15
80,CRS_ARR_TIME_16
81,CRS_ARR_TIME_17
82,CRS_ARR_TIME_18
83,CRS_ARR_TIME_19
84,CRS_ARR_TIME_20
85,CRS_ARR_TIME_21
86,CRS_ARR_TIME_22
87,CRS_ARR_TIME_23
88,CRS_ARR_TIME_24
89,CRS_DEP_TIME_0
90,CRS_DEP_TIME_1
91,CRS_DEP_TIME_2
92,CRS_DEP_TIME_3
93,CRS_DEP_TIME_4
94,CRS_DEP_TIME_5
95,CRS_DEP_TIME_6
96,CRS_DEP_TIME_7
97,CRS_DEP_TIME_8
98,CRS_DEP_TIME_9
99,CRS_DEP_TIME_10
100,CRS_DEP_TIME_11
101,CRS_DEP_TIME_12
102,CRS_DEP_TIME_13
103,CRS_DEP_TIME_14
104,CRS_DEP_TIME_15
105,CRS_DEP_TIME_16
106,CRS_DEP_TIME_17
107,CRS_DEP_TIME_18
108,CRS_DEP_TIME_19
109,CRS_DEP_TIME_20
110,CRS_DEP_TIME_21
111,CRS_DEP_TIME_22
112,CRS_DEP_TIME_23
113,ORIGIN_AIRPORT_CLASS_0.0
114,ORIGIN_AIRPORT_CLASS_1.0
115,ORIGIN_AIRPORT_CLASS_2.0
116,ORIGIN_AIRPORT_CLASS_3.0
117,ORIGIN_AIRPORT_CLASS_4.0
118,DEST_AIRPORT_CLASS_0.0
119,DEST_AIRPORT_CLASS_1.0
120,DEST_AIRPORT_CLASS_2.0
121,DEST_AIRPORT_CLASS_3.0
122,DEST_AIRPORT_CLASS_4.0
123,DEST_AIRPORT_CLASS_5.0
124,DISTANCE
125,NB_FLIGHT_ARR_SAME_HOUR
126,NB_FLIGHT_DEP_SAME_HOUR
